Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,15,0.0,0.0,0.0,0.92,0.0,0.0,0.0,72.55
2,43,0.0,0.0,0.0,0.92,0.0,0.0,0.0,132.1
3,55,0.0,0.0,0.0,0.85,0.0,0.0,0.0,191.94
4,57,0.0,0.0,0.0,0.78,0.0,0.0,0.0,251.47
5,60,0.0,0.0,0.0,0.78,0.0,0.0,0.0,313.18
6,60,0.33,0.0,20.0,0.72,0.32,0.0,19.33,373.78
7,60,0.33,0.0,20.0,0.67,0.58,0.0,34.8,431.46
8,60,0.67,0.0,20.0,0.61,1.11,0.0,47.17,492.04
9,59,0.9,0.0,20.0,0.57,1.77,0.0,53.74,553.35
10,60,0.91,0.0,20.0,0.52,2.26,0.0,54.83,612.67
11,58,1.11,0.0,20.0,0.48,2.94,0.0,57.37,671.28
12,60,1.37,0.0,20.0,0.41,3.58,0.0,65.33,732.76
13,60,1.39,0.0,20.0,0.44,4.19,0.0,71.7,792.75
14,60,1.4,0.0,20.0,0.41,4.69,0.0,76.79,852.76
15,60,1.27,0.0,25.0,0.38,4.95,0.0,85.87,912.17
16,60,1.47,0.0,33.33,0.35,5.34,0.0,100.0,971.96
17,60,1.52,0.0,33.33,0.32,5.51,0.0,100.0,1032.6
18,60,1.12,0.0,16.67,0.25,5.46,0.0,79.48,1092.34
19,59,0.98,0.0,13.33,0.23,5.36,0.0,63.1,1153.44
20,60,1.35,0.0,20.0,0.23,5.49,0.0,50.04,1211.7
21,60,1.16,0.0,16.67,0.21,5.48,0.0,53.34,1272.12
22,60,0.9,0.0,14.29,0.2,5.22,0.0,45.34,1332.47
23,60,1.04,0.0,14.29,0.18,5.14,0.0,45.82,1392.88
24,60,1.24,0.0,20.0,0.17,5.28,0.0,56.38,1452.77
25,59,1.4,0.0,20.0,0.15,5.63,0.0,64.83,1512.97
26,59,1.5,0.0,20.0,0.13,5.93,0.0,71.59,1572.07
27,60,1.51,0.0,20.0,0.12,6.11,0.0,77.0,1631.94
28,60,1.39,0.0,20.0,0.11,6.22,0.0,81.33,1692.64
29,60,1.01,0.0,16.67,0.1,5.92,0.0,81.46,1753.26
30,60,0.62,0.0,16.67,0.09,5.3,0.0,64.91,1810.31
31,60,0.78,0.0,16.67,0.09,4.97,0.0,60.92,1838.06
32,60,0.87,0.0,20.0,0.08,4.8,0.0,68.6,1849.53
33,59,0.78,0.0,20.0,0.07,4.63,0.0,74.73,1853.77
34,60,0.76,0.0,20.0,0.07,4.36,0.0,79.65,1855.42
35,60,0.43,0.0,16.67,0.06,3.87,0.0,63.58,1923.29
36,59,0.44,0.0,16.67,0.06,3.55,0.0,54.57,2089.61
37,60,0.46,0.0,16.67,0.05,3.22,0.0,60.15,2172.0
38,60,0.63,0.0,25.0,0.05,3.17,0.0,72.95,2198.76
39,60,1.63,0.0,50.0,0.05,4.14,0.0,91.53,2217.79
40,60,2.0,0.0,50.0,0.04,4.9,0.0,100.0,2236.67
41,60,1.67,0.0,50.0,0.04,4.62,0.0,100.0,2316.76
42,60,0.83,0.0,50.0,0.04,4.01,0.0,100.0,2438.02
43,60,0.83,0.0,50.0,0.03,3.53,0.0,100.0,2500.03
44,60,0.83,0.0,50.0,0.03,3.14,0.0,100.0,2551.71
45,60,0.56,0.0,33.33,0.03,2.84,0.0,100.0,2573.17
46,59,0.85,0.0,50.0,0.03,2.63,0.0,100.0,2613.64
